    | Name                                                 | Type             | Params
141 | model.cm_clf.DANSwan_blocks.3.column_transform.act   | GELU             | 0
142 | model.cm_clf.DANSwan_blocks.3.column_transform.fc2   | Linear           | 44.4 K
143 | model.cm_clf.DANSwan_blocks.3.column_transform.drop  | Dropout          | 0
144 | model.cm_clf.DANSwan_blocks.3.dropout                | Dropout          | 0
145 | model.cm_clf.DANSwan_blocks.3.shift                  | CircularShift    | 0
146 | model.cm_clf.DANSwan_blocks.4                        | DANSwanBlock     | 88.9 K
147 | model.cm_clf.DANSwan_blocks.4.prenorm                | Identity         | 0
148 | model.cm_clf.DANSwan_blocks.4.norm                   | Identity         | 0
149 | model.cm_clf.DANSwan_blocks.4.column_transform       | Mlp              | 88.9 K
150 | model.cm_clf.DANSwan_blocks.4.column_transform.fc1   | Linear           | 44.5 K
151 | model.cm_clf.DANSwan_blocks.4.column_transform.act   | GELU             | 0
152 | model.cm_clf.DANSwan_blocks.4.column_transform.fc2   | Linear           | 44.4 K
153 | model.cm_clf.DANSwan_blocks.4.column_transform.drop  | Dropout          | 0
154 | model.cm_clf.DANSwan_blocks.4.dropout                | Dropout          | 0
155 | model.cm_clf.DANSwan_blocks.4.shift                  | CircularShift    | 0
156 | model.cm_clf.DANSwan_blocks.5                        | DANSwanBlock     | 88.9 K
157 | model.cm_clf.DANSwan_blocks.5.prenorm                | Identity         | 0
158 | model.cm_clf.DANSwan_blocks.5.norm                   | Identity         | 0
159 | model.cm_clf.DANSwan_blocks.5.column_transform       | Mlp              | 88.9 K
160 | model.cm_clf.DANSwan_blocks.5.column_transform.fc1   | Linear           | 44.5 K
161 | model.cm_clf.DANSwan_blocks.5.column_transform.act   | GELU             | 0
162 | model.cm_clf.DANSwan_blocks.5.column_transform.fc2   | Linear           | 44.4 K
163 | model.cm_clf.DANSwan_blocks.5.column_transform.drop  | Dropout          | 0
164 | model.cm_clf.DANSwan_blocks.5.dropout                | Dropout          | 0
165 | model.cm_clf.DANSwan_blocks.5.shift                  | CircularShift    | 0
166 | model.cm_clf.DANSwan_blocks.6                        | DANSwanBlock     | 88.9 K
167 | model.cm_clf.DANSwan_blocks.6.prenorm                | Identity         | 0
168 | model.cm_clf.DANSwan_blocks.6.norm                   | Identity         | 0
169 | model.cm_clf.DANSwan_blocks.6.column_transform       | Mlp              | 88.9 K
170 | model.cm_clf.DANSwan_blocks.6.column_transform.fc1   | Linear           | 44.5 K
171 | model.cm_clf.DANSwan_blocks.6.column_transform.act   | GELU             | 0
172 | model.cm_clf.DANSwan_blocks.6.column_transform.fc2   | Linear           | 44.4 K
173 | model.cm_clf.DANSwan_blocks.6.column_transform.drop  | Dropout          | 0
174 | model.cm_clf.DANSwan_blocks.6.dropout                | Dropout          | 0
175 | model.cm_clf.DANSwan_blocks.6.shift                  | CircularShift    | 0
176 | model.cm_clf.DANSwan_blocks.7                        | DANSwanBlock     | 88.9 K
177 | model.cm_clf.DANSwan_blocks.7.prenorm                | Identity         | 0
178 | model.cm_clf.DANSwan_blocks.7.norm                   | Identity         | 0
179 | model.cm_clf.DANSwan_blocks.7.column_transform       | Mlp              | 88.9 K
180 | model.cm_clf.DANSwan_blocks.7.column_transform.fc1   | Linear           | 44.5 K
181 | model.cm_clf.DANSwan_blocks.7.column_transform.act   | GELU             | 0
182 | model.cm_clf.DANSwan_blocks.7.column_transform.fc2   | Linear           | 44.4 K
183 | model.cm_clf.DANSwan_blocks.7.column_transform.drop  | Dropout          | 0
184 | model.cm_clf.DANSwan_blocks.7.dropout                | Dropout          | 0
185 | model.cm_clf.DANSwan_blocks.7.shift                  | CircularShift    | 0
186 | model.cm_clf.DANSwan_blocks.8                        | DANSwanBlock     | 88.9 K
187 | model.cm_clf.DANSwan_blocks.8.prenorm                | Identity         | 0
